thigh_joint_torque,leg_joint_torque,foot_joint_torque,thigh_left_joint_torque,leg_left_joint_torque,foot_left_joint_torque,thigh_joint_position,leg_joint_position,foot_joint_position,thigh_left_joint_position,leg_left_joint_position,foot_left_joint_position,thigh_joint_velocity,leg_joint_velocity,foot_joint_velocity,thigh_left_joint_velocity,leg_left_joint_velocity,foot_left_joint_velocity,time
40.0,40.0,12.0,40.0,40.0,12.0,-0.013924260223516312,-0.8167677077838513,0.292750147516202,-0.6342757217140812,-0.029353021045720386,0.698440088847464,-0.013924260223516312,-0.8167677077838513,0.292750147516202,-0.6342757217140812,-0.029353021045720386,0.698440088847464,0.29700000000000015
40.0,40.0,12.0,40.0,40.0,12.0,0.00451588425963129,-0.7879504888611572,0.2935496206050949,-0.6430537725896698,0.006413739966326246,0.6984752050035794,0.00451588425963129,-0.7879504888611572,0.2935496206050949,-0.6430537725896698,0.006413739966326246,0.6984752050035794,0.31350000000000017
40.0,40.0,12.0,40.0,40.0,12.0,0.001849706192744977,-0.7682440598943119,0.2803862602898904,-0.6592004269003604,0.002629269715419126,0.6934450508872112,0.001849706192744977,-0.7682440598943119,0.2803862602898904,-0.6592004269003604,0.002629269715419126,0.6934450508872112,0.3300000000000002
40.0,40.0,12.0,40.0,40.0,12.0,0.0005425126655728388,-0.7545687405864168,0.28538317673281055,-0.6596978555617814,-0.030709358720169066,0.7038933987130017,0.0005425126655728388,-0.7545687405864168,0.28538317673281055,-0.6596978555617814,-0.030709358720169066,0.7038933987130017,0.3465000000000002
40.0,40.0,12.0,40.0,40.0,12.0,0.00019607069728366943,-0.7322688630952049,0.3196490882668322,-0.6605899114913185,-0.04620582230693879,0.7077455650297415,0.00019607069728366943,-0.7322688630952049,0.3196490882668322,-0.6605899114913185,-0.04620582230693879,0.7077455650297415,0.3630000000000002
40.0,40.0,12.0,40.0,40.0,12.0,4.8993451876090545e-05,-0.7160508404242816,0.37506897381895543,-0.6885805388519407,-0.01432608922973673,0.685536536030769,4.8993451876090545e-05,-0.7160508404242816,0.37506897381895543,-0.6885805388519407,-0.01432608922973673,0.685536536030769,0.3795000000000002
40.0,40.0,12.0,40.0,40.0,12.0,-0.0006229516400343637,-0.7216002236810429,0.4521074688510718,-0.7226999380226421,0.0010989308006463538,0.6679305012808182,-0.0006229516400343637,-0.7216002236810429,0.4521074688510718,-0.7226999380226421,0.0010989308006463538,0.6679305012808182,0.39600000000000024
40.0,40.0,12.0,40.0,40.0,12.0,0.00042686956401467147,-0.7391087645035024,0.5033501512117565,-0.74253148946101,-0.014136437207197882,0.6719406410352938,0.00042686956401467147,-0.7391087645035024,0.5033501512117565,-0.74253148946101,-0.014136437207197882,0.6719406410352938,0.41250000000000026
40.0,40.0,12.0,40.0,40.0,12.0,0.00017092123358811796,-0.7543663469702298,0.517070748715704,-0.7778149041952338,0.00029418987721720674,0.6483391685517212,0.00017092123358811796,-0.7543663469702298,0.517070748715704,-0.7778149041952338,0.00029418987721720674,0.6483391685517212,0.42900000000000027
40.0,40.0,12.0,40.0,40.0,12.0,0.0010900032262877474,-0.7613903396705248,0.5308587354269388,-0.8004517377031092,-0.00127031201239443,0.6151539803723747,0.0010900032262877474,-0.7613903396705248,0.5308587354269388,-0.8004517377031092,-0.00127031201239443,0.6151539803723747,0.4455000000000003
40.0,40.0,12.0,40.0,40.0,12.0,0.0003737165733400876,-0.7673126780304842,0.5533436089581153,-0.8238449363267845,0.00013080305139409097,0.5836839374458775,0.0003737165733400876,-0.7673126780304842,0.5533436089581153,-0.8238449363267845,0.00013080305139409097,0.5836839374458775,0.4620000000000003
40.0,40.0,12.0,40.0,40.0,12.0,8.120195947682111e-05,-0.7699850470253868,0.5710298726357714,-0.8446204930387028,3.5003374858540154e-05,0.5501237514002809,8.120195947682111e-05,-0.7699850470253868,0.5710298726357714,-0.8446204930387028,3.5003374858540154e-05,0.5501237514002809,0.4785000000000003
32.52021789550781,32.52021789550781,9.756065368652344,32.52021789550781,32.52021789550781,9.756065368652344,0.0016226640719275661,-0.7597415047742061,0.582439896950201,-0.8503042170580004,-0.012938787091601494,0.5057624151463272,0.0016226640719275661,-0.7597415047742061,0.582439896950201,-0.8503042170580004,-0.012938787091601494,0.5057624151463272,0.49500000000000033
40.0,40.0,12.0,40.0,40.0,12.0,0.000612653689348942,-0.736294341818942,0.6103239070579022,-0.8593299803296843,-0.013632171579910406,0.4567002460177666,0.000612653689348942,-0.736294341818942,0.6103239070579022,-0.8593299803296843,-0.013632171579910406,0.4567002460177666,0.5115000000000003
21.531033515930176,21.531033515930176,6.459310054779053,21.531033515930176,21.531033515930176,6.459310054779053,0.00016027999653957128,-0.6994419201246126,0.6424910891761871,-0.8589889672517466,-0.02227024314268843,0.4215765418604606,0.00016027999653957128,-0.6994419201246126,0.6424910891761871,-0.8589889672517466,-0.02227024314268843,0.4215765418604606,0.5280000000000002
14.732842445373535,14.732842445373535,4.4198527336120605,14.732842445373535,14.732842445373535,4.4198527336120605,3.2677010590842004e-05,-0.6696336647578237,0.659725108830515,-0.8480420310692879,-0.052640017119035626,0.40188744999403087,3.2677010590842004e-05,-0.6696336647578237,0.659725108830515,-0.8480420310692879,-0.052640017119035626,0.40188744999403087,0.5445000000000002
40.0,40.0,12.0,40.0,40.0,12.0,9.938078377552462e-06,-0.704128262562329,0.6262931897806528,-0.8348597682555317,-0.1199964432696092,0.4190250339765123,9.938078377552462e-06,-0.704128262562329,0.6262931897806528,-0.8348597682555317,-0.1199964432696092,0.4190250339765123,0.5610000000000002
